GEN_DB,SP_DB,COUNTRY,LAT,LONG,Make SDM,Philippine map
Acrogomphus,malayanus,Malaysia,3.0368,102.1523,Yes,
Acrogomphus,malayanus,Malaysia,3.22576,101.88641,Yes,
Acrogomphus,malayanus,Malaysia,4.2319,100.5517,Yes,
Acrogomphus,malayanus,Malaysia,4.613,101.404,Yes,
Acrogomphus,malayanus,Malaysia,4.95587,101.12242,Yes,
Acrogomphus,malayanus,Malaysia,6.30543,99.8511,Yes,
Acrogomphus,malayanus,Malaysia,6.361152,99.79268,Yes,
Acrogomphus,malayanus,Malaysia,6.36332,99.79171,Yes,
Acrogomphus,malayanus,Malaysia,6.36393,99.78832,Yes,
Acrogomphus,malayanus,Malaysia,6.369,99.819,Yes,
Acrogomphus,malayanus,Malaysia,6.372,99.77572,Yes,
Acrogomphus,malayanus,Malaysia,6.38222,99.67333,Yes,
Acrogomphus,malayanus,Malaysia,6.40209,99.81971,Yes,
Acrogomphus,malayanus,Singapore,1.378,103.809,Yes,
Acrogomphus,walshae,Indonesia,-7.19316,107.05023,Yes,
Acrogomphus,walshae,Indonesia,-7.0097,106.8668,Yes,
Acrogomphus,walshae,Indonesia,-5.458,104.71179,Yes,
Acrogomphus,walshae,Indonesia,-4.306,102.818,Yes,
Acrogomphus,walshae,Indonesia,-3.78514,103.54279,Yes,
Aethriamanta,aethra,Indonesia,-7.983,113.267,Yes,
Aethriamanta,aethra,Indonesia,-6.993,110.42,Yes,
Aethriamanta,aethra,Indonesia,-6.162,105.984,Yes,
Aethriamanta,aethra,Indonesia,-6.057,106.852,Yes,
Aethriamanta,aethra,Malaysia,6.372,99.77572,Yes,
Aethriamanta,aethra,Singapore,1.27903,103.79943,Yes,
Aethriamanta,aethra,Singapore,1.36341,103.84356,Yes,
Aethriamanta,aethra,Singapore,1.37459,103.84336,Yes,
Aethriamanta,aethra,Singapore,1.37732,103.78813,Yes,
Aethriamanta,aethra,Singapore,1.378,103.809,Yes,
Aethriamanta,aethra,Singapore,1.39151,103.80965,Yes,
Aethriamanta,aethra,Singapore,1.43667,103.70944,Yes,
Aethriamanta,brevipennis,Indonesia,-4.8625,103.930556,Yes,
Aethriamanta,brevipennis,Indonesia,-3.24571,107.51605,Yes,
Aethriamanta,brevipennis,Indonesia,-3.24281,107.52596,Yes,
Aethriamanta,brevipennis,Indonesia,-3.10692,107.85822,Yes,
Aethriamanta,brevipennis,Indonesia,-2.90318,107.453615,Yes,
Aethriamanta,brevipennis,Indonesia,-2.850744,107.40135,Yes,
Aethriamanta,brevipennis,Indonesia,-2.847304,107.404274,Yes,
Aethriamanta,brevipennis,Indonesia,-2.780886,107.629504,Yes,
Aethriamanta,brevipennis,Indonesia,-2.778005,107.634206,Yes,
Aethriamanta,brevipennis,Indonesia,-2.768966,107.62724,Yes,
Aethriamanta,brevipennis,Malaysia,2.55263,103.75557,Yes,
Aethriamanta,brevipennis,Malaysia,2.92227,101.7832,Yes,
Aethriamanta,brevipennis,Malaysia,3.06676,101.88039,Yes,
Aethriamanta,brevipennis,Malaysia,3.15022,101.91209,Yes,
Aethriamanta,brevipennis,Malaysia,3.16664,101.58079,Yes,
Aethriamanta,brevipennis,Malaysia,3.71608,102.176,Yes,
Aethriamanta,brevipennis,Malaysia,4.88388,103.37751,Yes,
Aethriamanta,brevipennis,Malaysia,5.4574,102.5183,Yes,
Aethriamanta,brevipennis,Malaysia,5.77042,102.37669,Yes,
Aethriamanta,brevipennis,Singapore,1.27903,103.79943,Yes,
Aethriamanta,brevipennis,Singapore,1.31384,103.81591,Yes,
Aethriamanta,brevipennis,Singapore,1.36341,103.84356,Yes,
Aethriamanta,brevipennis,Singapore,1.37459,103.84336,Yes,
Aethriamanta,brevipennis,Singapore,1.378,103.809,Yes,
Aethriamanta,brevipennis,Singapore,1.448,103.72454,Yes,
Aethriamanta,brevipennis,Indonesia,-3.402,126.569,Yes,
Aethriamanta,brevipennis,Solomon Islands,-9.605,160.155,Yes,
Aethriamanta,gracilis,Brunei,4.95,114.85,Yes,
Aethriamanta,gracilis,Indonesia,-3.10692,107.85822,Yes,
Aethriamanta,gracilis,Indonesia,-2.989193,107.52173,Yes,
Aethriamanta,gracilis,Indonesia,-2.972833,107.528873,Yes,
Aethriamanta,gracilis,Indonesia,-2.90318,107.453615,Yes,
Aethriamanta,gracilis,Indonesia,-2.854951,107.406721,Yes,
Aethriamanta,gracilis,Indonesia,-2.850744,107.40135,Yes,
Aethriamanta,gracilis,Indonesia,-2.83333,107.91667,Yes,
Aethriamanta,gracilis,Indonesia,-2.780886,107.629504,Yes,
Aethriamanta,gracilis,Indonesia,-2.768966,107.62724,Yes,
Aethriamanta,gracilis,Indonesia,-2.648,107.702,Yes,
Aethriamanta,gracilis,Indonesia,-1.145,116.837,Yes,
Aethriamanta,gracilis,Indonesia,-0.46667,100.76667,Yes,
Aethriamanta,gracilis,Indonesia,0.0667,111.5,Yes,
Aethriamanta,gracilis,Indonesia,3.55733,98.6535,Yes,
Aethriamanta,gracilis,Indonesia,3.56435,98.65684,Yes,
Aethriamanta,gracilis,Malaysia,1.0694,111.2923,Yes,
Aethriamanta,gracilis,Malaysia,1.11905,110.22793,Yes,
Aethriamanta,gracilis,Malaysia,1.1418,110.4384,Yes,
Aethriamanta,gracilis,Malaysia,1.2929,110.0862,Yes,
Aethriamanta,gracilis,Malaysia,1.3,110.3,Yes,
Aethriamanta,gracilis,Malaysia,1.3783,110.1326,Yes,
Aethriamanta,gracilis,Malaysia,1.3848,110.137,Yes,
Aethriamanta,gracilis,Malaysia,1.402,110.316,Yes,
Aethriamanta,gracilis,Malaysia,1.4738,110.3013,Yes,
Aethriamanta,gracilis,Malaysia,1.4829,110.2726,Yes,
